"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"COAIUSDT","Cross","Short","7.15238200","6.49595500","2762.00000000","2762.00000000","1813.04999973","2025-10-13 13:30:32.625","2025-10-13 21:18:03.686","Closed"
"BASUSDT","Cross","Long","0.07520700","0.06671500","714.00000000","714.00000000","-6.06328800","2025-10-13 12:34:30.308","2025-10-13 12:43:26.927","Closed"
"BNBUSDT","Cross","Short","1283.17000000","1282.41636400","0.11000000","0.11000000","0.08290000","2025-10-13 11:29:18.629","2025-10-13 17:10:21.460","Closed"
"SUSHIUSDT","Cross","Long","0.56210000","0.55750000","52.00000000","52.00000000","-0.23920000","2025-10-13 11:28:52.399","2025-10-14 05:35:57.783","Closed"
"COMPUSDT","Cross","Long","34.50000000","33.08000000","0.86100000","0.86100000","-1.22262000","2025-10-13 11:27:45.359","2025-10-14 06:46:47.876","Closed"
"SOLUSDT","Cross","Long","195.73562900","200.47922000","11.37000000","13.59000000","64.46540000","2025-10-13 10:08:46.136","2025-10-13 17:10:07.656","Closed"
"ZEREBROUSDT","Cross","Long","0.05188800","0.04642900","580021.00000000","580021.00000000","-3165.90272966","2025-10-13 09:55:25.085","2025-10-13 11:21:13.476","Closed"
"1000RATSUSDT","Cross","Long","0.03466500","0.02842300","588911.00000000","588911.00000000","-3676.27858985","2025-10-13 06:53:35.796","2025-10-13 07:18:38.406","Closed"
"SNXUSDT","Cross","Long","1.72800000","2.00400000","19.20000000","19.20000000","5.29920000","2025-10-13 04:08:44.739","2025-10-14 06:48:06.415","Closed"
"AAVEUSDT","Cross","Long","249.70000000","247.04000000","0.10000000","0.10000000","-0.26600000","2025-10-13 02:04:39.348","2025-10-13 11:29:05.536","Closed"
"KNCUSDT","Cross","Long","0.28860000","0.28100000","115.00000000","115.00000000","-0.87400000","2025-10-13 02:00:33.885","2025-10-14 06:46:42.361","Closed"
"ETHUSDT","Cross","Short","4099.98672727","4074.63190900","0.08900000","0.11000000","2.78903000","2025-10-12 21:31:48.834","2025-10-14 12:51:09.827","Closed"
"ETHUSDT","Cross","Short","4099.98672727","4167.68630800","0.08900000","0.06500000","-4.41297591","2025-10-12 21:31:48.834",,"Partially Closed"
"COAIUSDT","Cross","Long","13.60000000","12.60100000","1.00000000","1.00000000","-0.99900000","2025-10-12 20:22:51.039","2025-10-12 20:40:33.459","Closed"
"RUNEUSDT","Cross","Long","0.92700000","0.92400000","67.00000000","67.00000000","-0.20100000","2025-10-12 19:11:21.255","2025-10-14 04:24:30.636","Closed"
"COAIUSDT","Cross","Long","10.51400000","8.58720000","5.00000000","5.00000000","-9.63400000","2025-10-12 18:19:23.459","2025-10-12 21:00:40.591","Closed"
"COAIUSDT","Cross","Long","8.40300000","7.78700000","2.00000000","2.00000000","-1.23200000","2025-10-12 14:15:29.788","2025-10-12 18:54:48.851","Closed"
"USELESSUSDT","Cross","Long","0.27300000","0.33268900","57.00000000","57.00000000","3.40230000","2025-10-12 12:08:51.927","2025-10-12 21:33:03.389","Closed"
"COAIUSDT","Cross","Long","8.42600000","7.62700000","1.00000000","1.00000000","-0.79900000","2025-10-12 02:12:00.137","2025-10-12 03:16:21.017","Closed"
"COAIUSDT","Cross","Long","6.73200000","6.53200000","1.00000000","1.00000000","-0.20000000","2025-10-11 18:38:04.990","2025-10-11 18:39:11.052","Closed"
"ZEREBROUSDT","Cross","Long","0.04440000","0.04936000","213.00000000","213.00000000","1.05648000","2025-10-11 16:05:51.153","2025-10-11 17:52:20.278","Closed"
"COAIUSDT","Cross","Short","4.14112800","4.46389800","6945.00000000","6945.00000000","-2241.63853964","2025-10-11 14:54:46.954","2025-10-11 15:17:54.641","Closed"
"COAIUSDT","Cross","Long","6.89387400","5.21474500","11099.00000000","11099.00000000","-18636.65120971","2025-10-11 08:23:55.833","2025-10-11 14:42:06.076","Closed"
"COAIUSDT","Cross","Short","5.72530600","6.14836500","6318.00000000","6318.00000000","-2672.88603964","2025-10-11 03:53:21.211","2025-10-11 04:24:41.182","Closed"
"ZECUSDT","Cross","Long","188.97000000","192.71000000","0.61300000","0.61300000","2.29262000","2025-10-10 21:43:03.363","2025-10-10 21:55:32.344","Closed"
"XPLUSDT","Cross","Long","0.46210000","0.46960000","143.00000000","143.00000000","1.07250000","2025-10-10 21:35:33.467","2025-10-10 22:23:14.874","Closed"
"BROCCOLI714USDT","Cross","Long","0.01436000","0.01500000","1176.00000000","1176.00000000","0.75264000","2025-10-10 21:30:52.727","2025-10-10 21:31:47.382","Closed"
"BNBUSDT","Cross","Long","1053.79000000","1101.73000000","0.03000000","0.03000000","1.43820000","2025-10-10 21:25:56.004","2025-10-10 21:50:20.763","Closed"
"DOGEUSDT","Cross","Long","0.14397000","0.18260000","241.00000000","241.00000000","9.30983000","2025-10-10 21:25:04.055","2025-10-10 22:20:14.413","Closed"
"ETHUSDT","Cross","Long","3648.85000000","3573.00000000","0.05700000","0.05700000","-4.32345000","2025-10-10 21:16:47.602","2025-10-10 21:17:08.269","Closed"
"GIGGLEUSDT","Cross","Long","129.47851900","128.44000000","0.27000000","0.27000000","-0.28039999","2025-10-10 20:08:52.859","2025-10-10 20:21:14.993","Closed"
"ETHUSDT","Cross","Long","3988.15000000","4021.03288900","0.09000000","0.09000000","2.95946000","2025-10-10 19:40:55.763","2025-10-10 20:21:04.612","Closed"
"USELESSUSDT","Cross","Long","0.33436500","0.33897400","264.00000000","322.00000000","1.48410000","2025-10-10 15:30:53.434","2025-10-10 20:54:03.272","Closed"
"INUSDT","Cross","Long","0.26217300","0.18465200","244985.00000000","244985.00000000","-18991.50796890","2025-10-10 06:10:28.089","2025-10-10 07:52:00.190","Closed"
"INUSDT","Cross","Long","0.25651100","0.25479200","169013.00000000","169013.00000000","-290.52680939","2025-10-10 06:00:34.330","2025-10-10 06:05:25.372","Closed"
"GIGGLEUSDT","Cross","Short","123.80000300","108.72075300","500.15000000","500.15000000","7541.88689832","2025-10-10 04:33:44.720","2025-10-10 04:36:25.973","Closed"
"COAIUSDT","Cross","Long","6.67700700","6.32600000","3.00000000","3.00000000","-1.05302000","2025-10-10 04:09:43.068","2025-10-10 21:21:41.160","Closed"
"BTCUSDT","Cross","Long","121031.73461500","119767.90000000","0.02600000","0.02600000","-32.85970000","2025-10-09 15:41:47.147","2025-10-09 17:03:41.938","Closed"
"ASTERUSDT","Cross","Short","1.74460000","1.69810000","42.00000000","42.00000000","1.95300000","2025-10-09 14:24:19.569","2025-10-09 19:22:02.974","Closed"
"COAIUSDT","Cross","Long","5.93226300","5.60811500","4.00000000","4.00000000","-1.29659000","2025-10-09 11:46:52.560","2025-10-09 16:54:46.290","Closed"
"COAIUSDT","Cross","Long","5.74466500","5.23207000","4.00000000","4.00000000","-2.05038000","2025-10-09 06:00:12.744","2025-10-09 07:24:10.435","Closed"
"CAKEUSDT","Cross","Short","3.68601800","3.73861800","22.00000000","22.00000000","-1.15719999","2025-10-09 02:21:45.188","2025-10-09 19:21:59.742","Closed"
"BNBUSDT","Cross","Long","1286.34000000","1263.00000000","0.05000000","0.05000000","-1.16700000","2025-10-09 02:20:22.617","2025-10-09 13:53:28.905","Closed"
