symbol,side,tms,is_new,rule_take,reason,move15m,ok_move,ok_break,ok_vol,break_level,taken,entry_px,exit_px,entry_time,exit_time,exit_reason,pnl_r,risk,stop_px_initial
MYXUSDT,LONG,1758972059714,False,False,no_trigger,0.013549211759693286,False,False,False,,,,,,,,,,
XPLUSDT,SHORT,1758959331939,,False,no_15m_bar,,,,,,,,,,,,,,
ALPINEUSDT,LONG,1758949692678,False,False,no_trigger,0.010031855541280273,False,False,False,,,,,,,,,,
XPLUSDT,LONG,1758916921831,,False,no_15m_bar,,,,,,,,,,,,,,
STBLUSDT,LONG,1758908312372,False,False,no_trigger,2.245122471433062e-05,False,False,False,,,,,,,,,,
ASTERUSDT,LONG,1758894430775,,False,no_15m_bar,,,,,,,,,,,,,,
MIRAUSDT,SHORT,1758890019372,True,False,no_trigger,0.06278376844494894,False,False,False,,,,,,,,,,
HUMAUSDT,LONG,1758856555042,False,False,no_trigger,-0.008756617541851303,False,False,False,,,,,,,,,,
ONDOUSDT,SHORT,1758851523288,False,False,no_trigger,-0.0010159160176092244,False,False,False,,,,,,,,,,
LINKUSDT,SHORT,1758851507359,False,False,no_trigger,0.0004887346659499322,False,False,False,,,,,,,,,,
AAVEUSDT,LONG,1758851495249,False,False,no_trigger,0.002685833175713938,False,False,False,,,,,,,,,,
ENAUSDT,LONG,1758851427002,False,False,no_trigger,0.0017331022530329306,False,False,False,,,,,,,,,,
ENAUSDT,LONG,1758851427002,False,False,no_trigger,0.0017331022530329306,False,False,False,,,,,,,,,,
STBLUSDT,LONG,1758846640907,False,False,no_trigger,-0.02423011844331635,False,False,False,,,,,,,,,,
WLFIUSDT,SHORT,1758842480932,False,False,no_trigger,0.006489994591671059,False,False,False,,,,,,,,,,
ETHUSDT,SHORT,1758842376444,,False,no_15m_bar,,,,,,,,,,,,,,
BNBUSDT,LONG,1758842156679,False,False,no_trigger,-0.0006330115524608564,False,False,False,,,,,,,,,,
BNBUSDT,LONG,1758842156679,False,False,no_trigger,-0.0006330115524608564,False,False,False,,,,,,,,,,
1000PEPEUSDT,SHORT,1758838288578,False,False,no_trigger,0.007929505701744683,False,False,False,,,,,,,,,,
BROCCOLIF3BUSDT,LONG,1758824022788,False,False,no_trigger,0.03744493392070481,False,False,True,,,,,,,,,,
BROCCOLIF3BUSDT,LONG,1758824022788,False,False,no_trigger,0.03744493392070481,False,False,True,,,,,,,,,,
WLFIUSDT,SHORT,1758822890607,False,False,no_trigger,-0.020607934054611043,False,True,True,,,,,,,,,,
STBLUSDT,LONG,1758813495941,False,False,no_trigger,-0.02267869597498139,False,False,False,,,,,,,,,,
UXLINKUSDT,LONG,1758803419484,False,False,no_trigger,-0.020645161290322636,False,False,False,,,,,,,,,,
STBLUSDT,LONG,1758803249381,False,False,no_trigger,-0.04446968373230833,False,False,False,,,,,,,,,,
AVNTUSDT,SHORT,1758792116589,False,False,no_trigger,0.006540481617282666,False,False,False,,,,,,,,,,
